ach,auch
als,also
auf,aus
beraten,braten
bis,biss
das,dass
de,die,sie
den,denn
dich,dir,doch
drei,frei
ehelich,ehrlich
ei,ein
fasst,fast
fiel,viel
fiele,viele
fielen,vielen
fruchtbar,furchtbar
gbit,gibt
gebäck,gepäck
genre,gerne
gerten,gärten
gesellt,gestellt
gesten,gestern
gewachsen,gewaschen
grad,grat
graf,graph
gründlich,grünlich
hafen,harfen
hasst,hast
hefe,hefte
heute,häute
ihm,im,um
klingt,klinkt
kostet,kotet
laib,leib
laie,leihe
least,liest
leere,lehre
leeren,lehren
legen,lägen
lid,lied
lies,ließ
maar,mahr
mahl,mal
mark,markt
mathe,matte
mediation,meditation
mich,mir,mit
miene,mine
mohr,moor
motte,motto
nachnahme,nachname
oll,soll
patenten,patienten
rad,rat
rede,reede
reinfall,rheinfall
reist,reißt
rezension,rezession
route,rute
ruhm,rum
saite,seite
sand,stand,strand
scherzhaft,schmerzhaft
sehr,seht,sieht
seid,seit
siegel,sigel
sohle,sole
späht,spät
staatlich,stattlich
staatliche,stattliche
staatlichen,stattlichen
staatlicher,stattlicher
staatliches,stattliches
stele,stelle,ställe
stich,strich
stiel,stil
strickt,strikt
städte,stätte
uhrzeit,urzeit
und,uns
vage,wage
vasen,wasen
verwaist,verweist
villen,willen
waagen,wagen
wahl,wal
wahr,war
waise,weise
ward,wart
waren,warnen
weiht,weint,weit
weist,weißt
welle,wälle
wen,wenn
wer,wär
werden,werfen
wie,wir,wird
würste,wüste
zeile,ziele
zeilen,zielen
zischen,zwischen
zunahme,zuname
